,Shipments: Attributes Ocean type category,Shipments: Attributes Shipment ID,Shipments: Attributes Tradelane,Shipments: Attributes Gross Weight (kg),Shipments: Attributes Volume (cbm),Shipment Containers: Distance Final Port to Destination Distance in mile,Shipment Containers: Distance Origin to First Port Distance in km,Shipments: Attributes Freight Type,Shipments: Locations Arrival port Coordinates,Shipments: Locations Departure port Coordinates,Port pair,Total Actual Days
588,coloaded_lcl,3021536,FEWB,"1,554.4",9.92,204.68,280.40,Port to Door,"51.5100908,0.4595977","8.764166099999999,78.1348361",INTUT - GBFXT,70.0
589,coloaded_lcl,3070769,TAWB,881.6,3.768,23.84,247.32,Door to Door,"40.735657,-74.1723667","51.5073509,-0.1277583",GBLON - USNYC,35.0
590,flxt_lcl,2993057,TPEB,"4,849.75",9.18,65.43,319.66,Port to Door,"40.735657,-74.1723667","22.6272784,120.3014353",TWKHH - USNYC,84.0
591,flxt_lcl,3015884,TPEB,"2,662.38",14.03,64.34,296.68,Port to Door,"40.735657,-74.1723667","22.6272784,120.3014353",TWKHH - USNYC,86.0
592,coloaded_lcl,3016789,FEWB,"2,080",13.59,52.84,131.12,Port to Door,"53.5510846,9.9936819","8.764166099999999,78.1348361",INTUT - CZPRG,58.0
593,coloaded_lcl,3011882,TPEB,799.88,4.901,"1,716.75",45.04,Port to Door,"34.0522342,-118.2436849","-7.0051453,110.4381254",IDSRG - USLAX,68.0
594,coloaded_lcl,3019705,TAWB,"1,032",8.496,196.26,385.42,Door to Door,"25.7616798,-80.1917902","53.5510846,9.9936819",DEHAM - USMIA,49.0
595,coloaded_lcl,3031816,TPEB,334.75,1.916,843.76,326.52,Port to Door,"40.66,-74.047","8.764166099999999,78.1348361",INTUT - USEWR,58.0
596,flxt_lcl,3053780,TPEB,"2,552.13",3.76,"1,350.00",155.79,Port to Door,"34.0522342,-118.2436849","22.6272784,120.3014353",TWKHH - USLAX,42.0
597,coloaded_lcl,3019400,TPEB,592,3.36,44.12,14.38,Port to Door,"40.735657,-74.1723667","10.8230989,106.6296638",VNSGN - USNYC,52.0
598,coloaded_lcl,2992149,TPEB,"1,821.3",4.22,796.08,4.72,Port to Door,"40.735657,-74.1723667","20.8449115,106.6880841",VNHPH - USNYC,81.0
599,coloaded_lcl,2963899,TPEB,82,0.631,"2,076.64",158.21,Port to Door,"49.2827291,-123.1207375","-37.68779749999999,176.1651295",NZTRG - CAVAN,
600,coloaded_lcl,3021417,TAWB,176.22,2.63,28.59,32.37,Port to Door,"40.735657,-74.1723667","41.1827778,-8.703055599999999",PTLEI - USNYC,28.0
601,coloaded_lcl,2996128,TAWB,364,1.78,597.73,239.25,Door to Door,"34.0522342,-118.2436849","44.4056499,8.946256",ITGOA - USLAX,69.0
602,coloaded_lcl,3025115,TPEB,307.15,1.875,"1,377.46","1,145.17",Port to Door,"34.0522342,-118.2436849","18.9499361,72.9511875",INNSA - USLAX,71.0
603,coloaded_lcl,3036289,TAWB,"2,661",7.888,17.68,34.59,Port to Door,"34.0522342,-118.2436849","44.4056499,8.946256",ITGOA - USLAX,51.0
604,coloaded_lcl,3011509,TPEB,235,1.891,747.93,13.70,Door to Door,"40.735657,-74.1723667","1.352083,103.819836",SGSIN - USNYC,
605,flxt_lcl,3003788,FEWB,96,0.78,33.22,29.91,Port to Door,"51.961726,1.351255","22.556499,114.236875",CNYTN - GBFXT,59.0
606,coloaded_lcl,3017218,TPEB,264,0.23,726.02,0.00,Port to Door,"40.735657,-74.1723667","1.492659,103.7413591",MYTPP - USNYC,70.0
607,coloaded_lcl,2945564,TPEB,306,3.31,19.77,41.24,Port to Door,"49.2827291,-123.1207375","20.8449115,106.6880841",VNHPH - CATOR,52.0
608,coloaded_lcl,3023683,TAEB,"4,241.09",15.263,71.00,25.18,Door to Door,"51.9244201,4.4777326","44.64876350000001,-63.5752387",CAHAL - NLRTM,43.0
609,coloaded_lcl,2979634,TPEB,204.2,1.38,169.27,6.43,Port to Door,"40.735657,-74.1723667","10.8230989,106.6296638",VNSGN - USNYC,47.0
610,coloaded_lcl,3046830,TPWB,696.71,7.28,5.70,66.85,Door to Door,"22.3193039,114.1693611","34.0522342,-118.2436849",USLAX - HKHKG,46.0
611,flxt_lcl,3008239,TPEB,929.7,3.82,199.42,284.22,Port to Door,"40.735657,-74.1723667","22.6272784,120.3014353",TWKHH - USNYC,85.0
612,coloaded_lcl,3029759,FEWB,998.7,4.57,93.86,235.81,Port to Door,"51.961726,1.351255","22.356851,91.7831819",BDCGP - GBFXT,70.0
613,coloaded_lcl,3073152,ROW,377,3.23,0.40,48.06,Port to Port,"10.8230989,106.6296638","24.1477358,120.6736482",TWTXG - VNSGN,
614,coloaded_lcl,3017111,TPEB,835.5,8.48,"1,833.99",7.25,Port to Door,"34.0522342,-118.2436849","10.8230989,106.6296638",VNSGN - USLAX,107.0
615,coloaded_lcl,3017992,TPEB,"1,545.6",12.958,829.68,1.50,Port to Door,"33.7700504,-118.1937395","22.3193039,114.1693611",HKHKG - USLGB,43.0
616,coloaded_lcl,3029280,TPEB,647,3.85,8.32,7.86,Port to Door,"40.735657,-74.1723667","10.8230989,106.6296638",VNSGN - USNYC,57.0
617,coloaded_lcl,3013446,TPEB,"2,149.41",10.99,127.14,41.91,Port to Door,"40.735657,-74.1723667","10.8230989,106.6296638",VNSGN - USNYC,53.0
618,coloaded_lcl,3046390,TAEB,242.22,4.216,32.99,946.67,Door to Door,"51.9244201,4.4777326","36.8507689,-76.28587259999999",USORF - NLRTM,70.0
619,coloaded_lcl,2927212,TPEB,"1,472.72",9.744,143.83,6.41,Port to Door,"32.0808989,-81.091203","-7.0051453,110.4381254",IDSRG - USATL,95.0
620,coloaded_lcl,3008653,TPEB,256.82,2.153,372.39,6.14,Port to Door,"34.0522342,-118.2436849","-7.0051453,110.4381254",IDSRG - USLAX,62.0
